id,Ans
1,2
2,3
3,2
4,4
5,3
6,1
7,2
8,3
9,2
10,4
11,4
12,0
13,3
14,2
15,1
16,0
17,2
18,2
19,2
20,2
21,0
22,1
23,4
24,0
25,2
26,3
27,1
28,3
29,0
30,4
31,2
32,2
33,2
34,4
35,4
36,0
37,4
38,1
39,3
40,2
41,3
42,4
43,2
44,4
45,1
46,4
47,1
48,1
49,0
50,3
51,2
52,1
53,4
54,2
55,0
56,4
57,1
58,4
59,2
60,4
61,1
62,3
63,3
64,4
65,3
66,2
67,0
68,2
69,1
70,2
71,3
72,1
73,3
74,1
75,1
76,0
77,4
78,2
79,0
80,3
81,3
82,2
83,0
84,1
85,3
86,1
87,0
88,0
89,2
90,4
91,4
92,1
93,2
94,3
95,2
96,0
97,4
98,0
99,0
100,2
101,1
102,2
103,0
104,2
105,3
106,3
107,2
108,0
109,1
110,1
111,1
112,1
113,2
114,4
115,4
116,4
117,2
118,4
119,3
120,1
121,3
122,3
123,4
124,2
125,2
126,0
127,0
128,0
129,0
130,4
131,2
132,1
133,3
134,4
135,4
136,1
137,2
138,3
139,4
140,0
141,2
142,1
143,1
144,3
145,1
146,1
147,3
148,1
149,0
150,0
151,0
152,2
153,4
154,2
155,1
156,1
157,1
158,0
159,0
160,1
161,3
162,4
163,3
164,3
165,4
166,3
167,1
168,1
169,4
170,1
171,0
172,0
173,2
174,1
175,4
176,1
177,1
178,1
179,0
180,0
181,0
182,1
183,2
184,1
185,4
186,2
187,3
188,2
189,2
190,1
191,4
192,2
193,0
194,1
195,2
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,1
205,4
206,1
207,4
208,1
209,2
210,3
211,4
212,3
213,0
214,0
215,4
216,4
217,2
218,4
219,4
220,3
221,3
222,3
223,4
224,4
225,3
226,3
227,1
228,4
229,0
230,3
231,0
232,4
233,3
234,2
235,2
236,2
237,2
238,3
239,4
240,4
241,4
242,0
243,0
244,1
245,2
246,4
247,3
248,2
249,0
250,0
251,0
252,0
253,3
254,3
255,2
256,3
257,1
258,1
259,4
260,1
261,0
262,2
263,3
264,1
265,0
266,1
267,3
268,1
269,3
270,4
271,2
272,1
273,2
274,3
275,3
276,0
277,1
278,3
279,4
280,2
281,1
282,4
283,2
284,0
285,1
286,2
287,2
288,4
289,1
290,0
291,3
292,4
293,4
294,1
295,0
296,2
297,2
298,2
299,4
300,0
301,4
302,4
303,4
304,2
305,0
306,1
307,1
308,0
309,2
310,0
311,3
312,2
313,4
314,2
315,1
316,0
317,2
318,0
319,4
320,2
321,2
322,1
323,4
324,3
325,3
326,2
327,3
328,4
329,3
330,0
331,1
332,4
333,3
334,0
335,3
336,3
337,2
338,3
339,1
340,4
341,4
342,2
343,3
344,2
345,3
346,3
347,1
348,3
349,4
350,0
351,4
352,3
353,1
354,2
355,3
356,4
357,4
358,4
359,0
360,4
361,1
362,3
363,0
364,3
365,4
366,2
367,1
368,1
369,0
370,1
371,1
372,1
373,0
374,1
375,2
376,3
377,3
378,2
379,4
380,4
381,4
382,0
383,3
384,4
385,0
386,0
387,3
388,1
389,1
390,2
391,1
392,3
393,2
394,2
395,0
396,2
397,1
398,0
399,1
400,0
401,0
402,2
403,2
404,2
405,2
406,4
407,0
408,3
409,1
410,2
411,1
412,3
413,1
414,1
415,2
416,2
417,4
418,3
419,1
420,4
421,2
422,0
423,3
424,2
425,3
426,0
427,0
428,3
429,3
430,3
431,3
432,2
433,4
434,1
435,0
436,2
437,1
438,0
439,2
440,1
441,0
442,4
443,1
444,2
445,4
446,3
447,0
448,3
449,3
450,1
451,1
452,4
453,1
454,1
455,4
456,1
457,1
458,2
459,0
460,2
461,4
462,0
463,2
464,4
465,1
466,2
467,2
468,3
469,3
470,0
471,4
472,0
473,4
474,4
475,1
476,1
477,4
478,2
479,3
480,4
481,2
482,1
483,3
484,2
485,2
486,2
487,1
488,4
489,2
490,3
491,2
492,4
493,3
494,0
495,0
496,2
497,4
498,4
499,4
500,1
